Unnamed: 0,Title,Poem,Poet,Tags,Birth Year,Death Year,Order
2,Look for Me,"Look for me under the hood
of that old Chevrolet settled in weeds
at the end of the pasture.
I'm the radiator that spent its years
bolted in front of an engine
shoving me forward into the wind.
Whatever was in me in those days
has mostly leaked away,
but my cap's still screwed on tight
and I know the names of all these
tattered moths and broken grasshoppers
the rest of you've forgotten.",Ted Kooser,,1939,2025.0,30
3,Wild Life,"Behind the silo, the Mother Rabbit
hunches like a giant spider with strange calm:
six tiny babies beneath, each
clamoring for a sweet syringe of milk.
This may sound cute to you, reading
from your pulpit of plenty,
but one small one was left out of reach,
a knife of fur
barging between the others.
I watched behind a turret of sand. If
I could have cautioned the mother rabbit
I would. If I could summon the
Bunnies to fit him in beneath
the belly's swell
I would. But instead, I stood frozen, wishing
for some equity. This must be
why it's called Wild Life because of all the
crazed emotions tangled up in
the underbrush within us.
Did I tell you how
the smallest one, black and trembling,
hopped behind the kudzu
still filigreed with wanting?
Should we talk now of animal heritage, their species,
creature development? And what do we say
about form and focus—
writing this when a stray goes hungry, and away.",Grace Cavalieri,,1935,2025.0,25
4,Umbrella,"When I push your button
you fly off the handle,
old skin and bones,
black bat wing.
We're alike, you and I.
Both of us
resemble my mother,
so fierce in her advocacy
on behalf of
the most vulnerable child
who'll catch his death
in this tempest.
Such a headwind!
Sometimes it requires
all my strength
just to end a line.
But when the wind is at
my back, we're likely
to get carried away, and say
something we can never retract,
something saturated from the ribs
down, an old stony
word like ruin. You're what roof
I have, frail thing,
you're my argument
against the whole sky.
You're the fundamental difference
between wet and dry.",Connie Wanek,,1952,2025.0,37
6,Invisible Fish,"Invisible fish swim this ghost ocean now described by waves of sand, by water-worn rock. Soon the fish will learn to walk. Then humans will come ashore and paint dreams on the dying stone. Then later, much later, the ocean floor will be punctuated by Chevy trucks, carrying the dreamers’ decendants, who are going to the store.",Joy Harjo,"Living,Time & Brevity,Relationships,Family & Ancestors,Nature,Landscapes & Pastorals,Seas, Rivers, & Streams,Social Commentaries,History & Politics",1951,2025.0,35
7,Don’t Bother the Earth Spirit,"Don’t bother the earth spirit who lives here. She is working on a story. It is the oldest story in the world and it is delicate, changing. If she sees you watching she will invite you in for coffee, give you warm bread, and you will be obligated to stay and listen. But this is no ordinary story. You will have to endure earthquakes, lightning, the deaths of all those you love, the most blinding beauty. It’s a story so compelling you may never want to leave; this is how she traps you. See that stone finger over there? That is the only one who ever escaped.",Joy Harjo,"Religion,The Spiritual,Mythology & Folklore,Fairy-tales & Legends",1951,2025.0,35
8,The One Thing That Can Save America,"Is anything central?
Orchards flung out on the land,
Urban forests, rustic plantations, knee-high hills?
Are place names central?
Elm Grove, Adcock Corner, Story Book Farm?
As they concur with a rush at eye level
Beating themselves into eyes which have had enough
Thank you, no more thank you.
And they come on like scenery mingled with darkness
The damp plains, overgrown suburbs,
Places of known civic pride, of civil obscurity.
 
These are connected to my version of America
But the juice is elsewhere.
This morning as I walked out of your room
After breakfast crosshatched with
Backward and forward glances, backward into light,
Forward into unfamiliar light,
Was it our doing, and was it
The material, the lumber of life, or of lives
We were measuring, counting?
A mood soon to be forgotten
In crossed girders of light, cool downtown shadow
In this morning that has seized us again?
 
I know that I braid too much on my own
Snapped-off perceptions of things as they come to me.
They are private and always will be.
Where then are the private turns of event
Destined to bloom later like golden chimes
Released over a city from a highest tower?
The quirky things that happen to me, and I tell you,
And you know instantly what I mean?
What remote orchard reached by winding roads
Hides them? Where are these roots?
 
It is the lumps and trials
That tell us whether we shall be known
And whether our fate can be exemplary, like a star.
All the rest is waiting
For a letter that never arrives,
Day after day, the exasperation
Until finally you have ripped it open not knowing what it is,
The two envelope halves lying on a plate.
The message was wise, and seemingly
Dictated a long time ago, but its time has still
Not arrived, telling of danger, and the mostly limited
Steps that can be taken against danger
Now and in the future, in cool yards,
In quiet small houses in the country,
Our country, in fenced areas, in cool shady streets.",John Ashbery,,1927,2017.0,17
9,"[""Hour in which I consider hydrangea""]","Hour in which I consider hydrangea, a salt or sand plant, varietal, the question of varietals, the diet of every mother I know, 5 pounds feels like 20, I have lost … I have lost, yes, a sense of my own possible beauty, grown external, I externalize beauty. Beauty occurs on the surface of plants; the sun darkens the skin of my child, he is so small, he is beautiful (I can see; it is obvious) and everything about him is beautiful. His hand swells from the bite [spread?] of some insect[’s] venom because he is small. He appears to feel nothing. He smashes his skull against the floor. He screams. I hold him in my lap on the kitchen floor in front of an open freezer, pressing a pack of frozen clay against his forehead. He likes the cold. I see; it is so obvious. Hydrangea. When I move, when I walk pushing my child’s stroller (it is both walking and pushing or hauling, sometimes, also, lifting; it is having another body, an adjunct body composed of errand and weight and tenderness and no small amount of power), I imagine I can feel this small amount of weight, this 5 pounds like 20, interfering with the twitch of every muscle in my body. As an object, a mother is confusing, a middle-aged mother with little spare flesh, I feel every inch of major muscle pulling against gravity and against the weight of my child, now sleeping. This is the hour for thinking hydrangea. Let no man look at me. I stop to brush the drowsy child’s little eye. His face. He barely considers his mother. I am all around him. Why should he consider what is all around him? Perhaps what is missing is a subtle power of differentiation. I am in, therefore, a time of mass apprehensions.",Simone White,"Living,Parenthood,The Body,The Mind,Nature,Trees & Flowers",1970,2025.0,43
10,Stung,"She couldn't help but sting my finger,
clinging a moment before I flung her
to the ground. Her gold is true, not the trick
evening light plays on my roses.
She curls into herself, stinger twitching,
gilt wings folded. Her whole life just a few weeks,
and my pain subsided in a moment.
In the cold, she hardly had her wits to buzz.
No warning from either of us:
she sleeping in the richness of those petals,
then the hand, my hand, cupping the bloom
in devastating force, crushing the petals for the scent.
And she mortally threatened, wholly unaware
that I do this daily, alone with the gold last light,
in what seems to me an act of love.",Heid E. Erdrich,,1963,2025.0,40
12,How Quiet,"How quiet is the spruce,
the wind twills
through the uppermost tier
of splayed leaves.
Now the song of a bird
like the squeaky lock
over a canoe's oar,
followed by startling chirps,
the sky pushing its clouds
like sailboats,
and I think, what kind of God
keeps himself secret
so that to find him out
we have to seek, as children do
for something like the beetle
scuttling between grass,
hidden in plain sight.",Judith Harris,,1938,2018.0,27
14,Summer Apples,"I planted an apple tree in memory
of my mother, who is not gone,
 
but whose memory has become
so transparent that she remembers
 
slicing apples with her grandmother
(yellow apples; blue bowl) better than
 
the fruit that I hand her today. Still,
she polishes the surface with her thumb,
 
holds it to the light and says with no
hesitation, Oh, Yellow Transparent . . . 
 they're so fragile, you can almost seeto the core. She no longer remembers how
 
to roll the crust, sweeten the sauce, but
her desire is clear—it is pie that she wants.
 
And so, I slice as close as I dare to the core—
to that little cathedral to memory—where
 
the seeds remember everything they need
to know to become yellow and transparent.",Cathryn Essinger,,1950,2025.0,34
